crime,year,month,day
Possession For Sale - Marijuana,2008,11,05
Possession For Sale - Marijuana,2008,11,05
Poss Less Than 1 Oz. Of Marijuana,2008,11,08
Possess Controlled Substance,2008,11,09
Poss Less Than 1 Oz. Of Marijuana,2008,11,10
Possess Control Substance For Sale,2008,11,11
Possession Of Paraphernalia,2008,11,19
Possession For Sale - Narcotics,2008,11,28
Possession Of Paraphernalia,2008,12,02
Possess Control Substance For Sale,2008,12,05
Possession Of Paraphernalia,2008,12,17
Possess Narcotic Controlled Substnc,2008,12,20
Possession For Sale - Narcotics,2008,12,21
Possession Of Paraphernalia,2008,12,23
Poss Less Than 1 Oz. Of Marijuana,2009,01,02
Possession Of Hypodermic Syringe,2009,01,06
Under Influence Controlled Substanc,2009,01,14
Possess Controlled Substance,2009,01,15
Possess Controlled Substance,2009,01,17
Possession Of Paraphernalia,2009,01,18
Adult Poss. <=28.5g Or <=4g Concent,2009,01,19
Possess Control Substance W/O Presc,2009,01,27
Possession Of Paraphernalia,2009,01,28
Poss Less Than 1 Oz. Of Marijuana,2009,01,30
Poss Less Than 1 Oz. Of Marijuana,2009,02,03
Possess Controlled Substance,2009,02,19
Possess Narcotic Controlled Substnc,2009,02,21
Possession For Sale - Narcotics,2009,02,26
Under Influence Controlled Substanc,2009,02,28
Possession Of Paraphernalia,2009,02,28
Possess Control Substance W/O Presc,2009,03,02
Under Influence Controlled Substanc,2009,03,05
Possess Controlled Substance,2009,03,07
Possess Controlled Substance,2009,03,10
Possess Narcotic Controlled Substnc,2009,03,11
Obtain Control Substance By Fraud,2009,03,13
Possess Control Substance W/O Presc,2009,03,13
Possess Control Substance W/O Presc,2009,03,13
Possess Narcotic Controlled Substnc,2009,03,13
Possession Of Cocaine For Sale,2009,03,13
Possession Of Paraphernalia,2009,03,14
Poss Less Than 1 Oz. Of Marijuana,2009,03,30
Possession Of Paraphernalia,2009,03,31
Poss Less Than 1 Oz. Of Marijuana,2009,04,02
Poss Less Than 1 Oz. Of Marijuana,2009,04,04
Possess Narcotic Controlled Substnc,2009,04,05
Possess Controlled Substance,2009,04,10
Possess Narcotic Controlled Substnc,2009,04,12
Poss Less Than 1 Oz. Of Marijuana,2009,04,13
Under Influence Controlled Substanc,2009,04,14
Possess Controlled Substance,2009,04,15
Possession Of Paraphernalia,2009,04,15
Possession Of Paraphernalia,2009,04,21
Obtain Control Substance By Fraud,2009,04,23
Possess Controlled Substance,2009,04,24
Possess Narcotic Controlled Substnc,2009,04,30
Poss Less Than 1 Oz. Of Marijuana,2009,05,09
Possession Of Paraphernalia,2009,05,13
Possession Of Paraphernalia,2009,05,18
Possess Controlled Substance,2009,05,20
Under Influence Controlled Substanc,2009,05,20
Possess Narcotic Controlled Substnc,2009,05,31
Possess Controlled Substance,2009,06,03
Poss Less Than 1 Oz. Of Marijuana,2009,06,04
Possess Narcotic Controlled Substnc,2009,06,09
Possess Control Substance For Sale,2009,06,18
Possess Narcotic Controlled Substnc,2009,06,19
Possession For Sale - Marijuana,2009,06,21
Under Influence Controlled Substanc,2009,06,23
Possess Controlled Substance,2009,06,26
Poss Less Than 1 Oz. Of Marijuana,2009,06,28
Possess Controlled Substance,2009,07,02
Poss Less Than 1 Oz. Of Marijuana,2009,07,05
Possess Controlled Substance,2009,07,07
Possess Controlled Substance,2009,07,07
Possess Narcotic Controlled Substnc,2009,07,09
Poss Less Than 1 Oz. Of Marijuana,2009,07,11
Poss Less Than 1 Oz. Of Marijuana,2009,07,16
Possess Deadly Weapon,2008,01,28
Robbery,2008,02,06
Carrying Concealed Firearm Vehicle,2008,02,18
Attempted Murder,2008,03,02
Robbery,2008,03,03
Robbery,2008,03,15
Exhibiting Firearm,2008,03,25
Carrying Concealed Firearm Vehicle,2008,03,27
Robbery,2008,03,29
Attempted Murder,2008,04,04
Shoot At Inhabited Dwelling/Vehicle,2008,04,11
Attempted Murder,2008,04,12
Murder,2008,04,24
Robbery/Car Jacking,2008,04,25
Attempted Murder,2008,04,27
Attempted Murder,2008,04,27
Carrying Loaded Firearm,2008,05,03
Possess Deadly Weapon,2008,05,12
Possess Deadly Weapon,2008,05,16
Attempted Murder,2008,05,24
Murder: First Degree,2008,05,25
Attempted Murder,2008,05,27
Robbery,2008,05,27
"Poss Firearm Convicted Felon, Narc",2008,06,04
Murder: First Degree,2008,06,18
Attempted Robbery,2008,06,23
Attempted Murder,2008,06,24
"Poss Firearm Convicted Felon, Narc",2008,06,25
Robbery,2008,07,05
Attempted Murder,2008,07,08
Exhibiting Dead.Wp.Not Firearm,2008,07,14
Attempted Murder,2008,07,20
Robbery,2008,07,25
Carrying Concealed Firearm Vehicle,2008,07,27
Possess Deadly Weapon,2008,07,27
Shoot At Inhabited Dwelling/Vehicle,2008,08,04
Robbery,2008,08,09
Robbery,2008,08,19
Attempted Murder,2008,08,29
Attempted Murder,2008,09,01
Exhibiting Dead.Wp.Not Firearm,2008,09,03
Robbery,2008,09,06
Robbery,2008,09,20
Robbery/Car Jacking,2008,09,20
Threatening A Violent Assault,2008,09,21
Threatening A Violent Assault,2008,09,23
Exhibiting Dead.Wp.Not Firearm,2008,07,01
Possess Unreg. Firearm,2008,10,02
Attempted Murder,2008,10,02
Attempted Murder,2008,10,07
Gang Member Possess Firearm,2008,10,20
Child Endanger/Cruelty,2008,10,24
Attempted Robbery,2008,10,27
Robbery,2008,11,05
Attempted Murder,2008,11,07
Exhibiting Firearm,2008,11,10
"Poss Firearm Convicted Felon, Narc",2008,11,10
Exhibiting Firearm,2008,11,21
Robbery,2008,11,24
Possess Unreg. Firearm,2008,11,26
Robbery,2008,12,08
Robbery,2008,12,08
Robbery,2008,12,12
Attempted Murder,2008,12,17
Robbery,2008,12,18
Robbery,2008,12,30
Robbery,2008,12,31
Robbery,2008,12,31
Attempted Murder,2009,01,05
Robbery/Car Jacking,2009,01,06
Attempted Murder,2009,01,08
Murder,2009,01,09
Exhibiting Dead.Wp.Not Firearm,2009,01,09
Robbery,2009,01,10
Robbery,2009,01,10
Robbery,2009,01,10
Murder,2009,01,12
Threatening A Violent Assault,2009,01,13
Robbery,2009,01,14
Murder,2009,01,15
Robbery,2009,01,21
Robbery/Car Jacking,2009,01,23
Exhibiting Dead.Wp.Not Firearm,2009,01,23
Possess Unreg. Firearm,2009,01,24
Robbery,2009,01,25
Assault With Deadly Weapon,2009,02,05
Robbery/Car Jacking,2009,02,06
Exhibiting Firearm,2009,02,11
Attempted Murder,2009,02,14
Attempted Murder,2009,02,19
Robbery,2009,02,21
Carrying Concealed Firearm Vehicle,2009,02,25
Murder: First Degree,2009,02,26
Murder,2009,02,27
"Poss Firearm Convicted Felon, Narc",2009,02,28
Robbery,2009,03,01
Exhibiting Firearm,2009,03,03
Attempted Murder,2009,03,08
Robbery,2009,03,13
Gang Member Possess Firearm,2009,03,21
Attempted Murder,2009,03,27
"Poss Firearm Convicted Felon, Narc",2009,03,31
Robbery,2009,04,05
Robbery,2009,04,09
"Poss Firearm Convicted Felon, Narc",2009,04,11
Robbery,2009,04,21
"Poss Firearm Convicted Felon, Narc",2009,04,22
Exhibiting Dead.Wp.Not Firearm,2009,04,22
Attempted Murder,2009,04,27
Gang Member Possess Firearm,2009,05,05
Robbery,2009,05,11
Possess Deadly Weapon,2009,05,14
Attempted Murder,2009,05,22
Attempted Murder,2009,05,26
Possess Deadly Weapon,2009,06,04
Threatening A Violent Assault,2009,06,05
Robbery,2009,06,06
Robbery,2009,06,24
Gang Member Possess Firearm,2009,06,27
Attempted Murder,2009,07,01
Possess Deadly Weapon,2009,07,03
Attempted Car Jacking,2009,07,08
Attempted Car Jacking,2009,07,08
Robbery,2009,07,10
Attempted Murder,2009,07,11
Non-Crime,2008,02,02
Non-Crime,2008,01,22
Non-Crime,2008,01,22
Non-Crime,2008,01,23
Non-Crime,2008,01,25
Non-Crime,2008,01,27
Non-Crime,2008,01,28
Non-Crime,2008,01,29
Psychiatric Detention,2008,01,30
Non-Crime,2008,01,30
Non-Crime,2008,01,29
Psychiatric Detention,2008,01,31
Non-Crime,2008,01,28
Non-Crime,2008,01,24
Non-Crime,2008,01,31
Non-Crime,2008,02,01
Non-Crime,2008,02,02
Psychiatric Detention,2008,02,03
Non-Crime,2008,02,03
Non-Crime,2008,02,06
Non-Crime,2008,02,06
Non-Crime,2008,02,08
Non-Crime,2008,02,08
Non-Crime,2008,02,06
Non-Crime,2008,02,08
Non-Crime,2008,02,08
Non-Crime,2008,02,10
Non-Crime,2008,02,11
Non-Crime,2008,02,12
Non-Crime,2008,02,13
Psychiatric Detention,2008,02,11
Non-Crime,2008,02,13
Non-Crime,2008,02,14
Non-Crime,2008,02,15
Non-Crime,2008,02,15
Non-Crime,2008,02,15
Non-Crime,2008,02,13
Non-Crime,2008,02,15
Non-Crime,2008,02,15
Psychiatric Detention,2008,02,16
Psychiatric Detention,2008,02,18
Non-Crime,2008,02,19
Non-Crime,2008,02,19
Non-Crime,2008,02,19
Non-Crime,2008,02,18
Non-Crime,2008,02,20
Non-Crime,2008,02,21
Non-Crime,2008,02,22
Non-Crime,2008,02,22
Non-Crime,2008,02,22
Non-Crime,2008,02,22
Non-Crime,2008,02,21
Non-Crime,2008,02,24
Non-Crime,2008,02,24
Non-Crime,2008,02,24
Non-Crime,2008,02,23
Non-Crime,2008,02,25
Non-Crime,2008,02,26
Non-Crime,2008,02,26
Non-Crime,2008,02,26
Psychiatric Detention,2008,02,27
Non-Crime,2008,02,27
Psychiatric Detention,2008,02,28
Non-Crime,2008,02,28
Non-Crime,2008,02,29
Non-Crime,2008,02,29
Non-Crime,2008,03,02
Non-Crime,2008,02,27
Psychiatric Detention,2008,03,05
Psychiatric Detention,2008,03,05
Psychiatric Detention,2008,03,05
Psychiatric Detention,2008,03,05
Non-Crime,2008,03,06
Non-Crime,2008,02,20
Psychiatric Detention,2008,03,06
Non-Crime,2008,03,01
Psychiatric Detention,2008,03,08
Psychiatric Detention,2008,03,08
Non-Crime,2008,03,08
Non-Crime,2008,01,28
Non-Crime,2008,03,07
Non-Crime,2008,03,10
Non-Crime,2008,03,07
Non-Crime,2008,03,06
Non-Crime,2008,03,10
Non-Crime,2008,03,08
Non-Crime,2008,03,09
Non-Crime,2008,03,12
Non-Crime,2008,03,12
Non-Crime,2008,03,13
Psychiatric Detention,2008,03,13
Psychiatric Detention,2008,03,15
Psychiatric Detention,2008,03,17
Non-Crime,2008,03,17
Non-Crime,2008,03,18
Non-Crime,2008,02,26
Non-Crime,2008,03,18
Non-Crime,2008,03,19
Psychiatric Detention,2008,03,19
Psychiatric Detention,2008,03,19
Non-Crime,2008,03,17
Psychiatric Detention,2008,03,20
Non-Crime,2008,03,20
Psychiatric Detention,2008,03,22
Non-Crime,2008,03,22
Non-Crime,2008,03,22
Non-Crime,2008,03,22
Non-Crime,2008,03,23
Non-Crime,2008,03,15
Psychiatric Detention,2008,03,26
Psychiatric Detention,2008,03,28
Non-Crime,2008,03,28
Psychiatric Detention,2008,03,30
Non-Crime,2008,04,01
Non-Crime,2008,03,31
Non-Crime,2008,03,25
Psychiatric Detention,2008,04,01
Non-Crime,2008,04,01
Psychiatric Detention,2008,04,01
Non-Crime,2008,03,29
Non-Crime,2008,04,03
Non-Crime,2008,04,04
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Non-Crime,2008,04,05
Psychiatric Detention,2008,04,06
Psychiatric Detention,2008,04,06
Non-Crime,2008,04,06
Non-Crime,2008,04,07
Non-Crime,2008,04,07
Non-Crime,2008,04,08
Non-Crime,2008,04,08
Non-Crime,2008,03,14
Non-Crime,2008,04,09
Psychiatric Detention,2008,04,10
Non-Crime,2008,04,09
Non-Crime,2008,04,11
Non-Crime,2008,04,12
Non-Crime,2008,04,12
Non-Crime,2008,04,13
Non-Crime,2008,04,13
Non-Crime,2008,04,14
Non-Crime,2008,04,14
Psychiatric Detention,2008,04,15
Non-Crime,2008,04,12
Non-Crime,2008,04,15
Non-Crime,2008,04,15
Non-Crime,2008,04,16
Non-Crime,2008,04,16
Non-Crime,2008,04,14
Non-Crime,2008,04,16
Non-Crime,2008,04,10
Non-Crime,2008,04,17
Psychiatric Detention,2008,04,17
Non-Crime,2008,04,17
Non-Crime,2008,04,17
Non-Crime,2008,04,01
Non-Crime,2008,04,17
Non-Crime,2008,04,18
Non-Crime,2008,04,19
Non-Crime,2008,04,19
Non-Crime,2008,04,19
Non-Crime,2008,04,19
Non-Crime,2008,04,20
Non-Crime,2008,04,20
Non-Crime,2008,04,20
Non-Crime,2008,04,21
Non-Crime,2008,04,21
Non-Crime,2008,04,23
Non-Crime,2008,04,23
Non-Crime,2008,04,23
Non-Crime,2008,04,24
Non-Crime,2008,04,25
Non-Crime,2008,04,26
Non-Crime,2008,04,26
Psychiatric Detention,2008,04,27
Non-Crime,2008,04,27
Non-Crime,2008,04,27
Non-Crime,2008,04,27
Psychiatric Detention,2008,04,27
Non-Crime,2008,04,27
Non-Crime,2008,04,28
Non-Crime,2008,04,28
Non-Crime,2008,04,28
Non-Crime,2008,04,29
Psychiatric Detention,2008,04,30
Non-Crime,2008,04,29
Psychiatric Detention,2008,04,30
Non-Crime,2008,04,30
Non-Crime,2008,04,30
Non-Crime,2008,05,04
Non-Crime,2008,05,05
Non-Crime,2008,05,05
Non-Crime,2008,05,05
Non-Crime,2008,05,05
Non-Crime,2008,05,06
Non-Crime,2008,05,07
Non-Crime,2008,05,08
Non-Crime,2008,05,08
Non-Crime,2008,05,09
Non-Crime,2008,05,09
Non-Crime,2008,05,10
Non-Crime,2008,05,08
Non-Crime,2008,05,12
Non-Crime,2008,05,12
Non-Crime,2008,05,12
Non-Crime,2008,04,30
Non-Crime,2008,05,13
Non-Crime,2008,05,09
Non-Crime,2008,05,13
Non-Crime,2008,05,14
Non-Crime,2008,05,14
Psychiatric Detention,2008,05,15
Non-Crime,2008,05,15
Non-Crime,2008,05,16
Non-Crime,2008,05,17
Psychiatric Detention,2008,05,17
Non-Crime,2008,05,17
Non-Crime,2008,05,18
Non-Crime,2008,05,18
Non-Crime,2008,05,18
Non-Crime,2008,05,12
Non-Crime,2008,05,20
Non-Crime,2008,05,18
Psychiatric Detention,2008,05,20
Non-Crime,2008,05,20
Non-Crime,2008,05,15
Non-Crime,2008,05,21
Non-Crime,2008,05,21
Non-Crime,2008,05,21
Non-Crime,2008,05,20
Non-Crime,2008,05,22
Non-Crime,2008,05,22
Non-Crime,2008,05,22
Non-Crime,2008,05,22
Non-Crime,2008,05,21
Non-Crime,2008,05,23
Non-Crime,2008,05,22
Non-Crime,2008,05,24
Non-Crime,2008,05,25
Non-Crime,2008,05,26
Psychiatric Detention,2008,05,27
Non-Crime,2008,05,23
Non-Crime,2008,05,27
Non-Crime,2008,05,02
Psychiatric Detention,2008,05,29
Non-Crime,2008,05,30
Psychiatric Detention,2008,05,30
Non-Crime,2008,05,30
Non-Crime,2008,05,30
Non-Crime,2008,05,30
Psychiatric Detention,2008,06,01
Non-Crime,2008,05,31
Non-Crime,2008,06,02
Non-Crime,2008,05,20
Psychiatric Detention,2008,06,02
Non-Crime,2008,05,29
Non-Crime,2008,04,01
Psychiatric Detention,2008,06,03
Non-Crime,2008,06,03
Psychiatric Detention,2008,06,04
Non-Crime,2008,06,04
Non-Crime,2008,06,04
Non-Crime,2008,06,02
Non-Crime,2008,06,05
Non-Crime,2008,06,05
Non-Crime,2008,06,05
Psychiatric Detention,2008,06,06
Non-Crime,2008,06,08
Psychiatric Detention,2008,06,09
Non-Crime,2008,06,10
Non-Crime,2008,06,11
Non-Crime,2008,06,11
Non-Crime,2008,06,11
Non-Crime,2008,06,11
Non-Crime,2008,06,12
Non-Crime,2008,05,25
Non-Crime,2008,06,12
Psychiatric Detention,2008,06,12
Non-Crime,2008,06,16
Non-Crime,2008,05,07
Non-Crime,2008,06,16
Psychiatric Detention,2008,06,17
Non-Crime,2008,06,09
Non-Crime,2008,06,17
Non-Crime,2008,06,17
Non-Crime,2008,06,18
Psychiatric Detention,2008,06,18
Psychiatric Detention,2008,06,19
Psychiatric Detention,2008,06,19
Non-Crime,2008,05,18
Non-Crime,2008,06,20
Non-Crime,2008,06,21
Non-Crime,2008,06,20
Non-Crime,2008,06,21
Non-Crime,2008,06,22
Non-Crime,2008,06,22
Non-Crime,2008,06,22
Non-Crime,2008,06,22
Psychiatric Detention,2008,06,23
Non-Crime,2008,06,23
Non-Crime,2008,06,23
Non-Crime,2008,06,25
Psychiatric Detention,2008,06,27
Non-Crime,2008,06,28
Non-Crime,2008,06,29
Non-Crime,2008,06,29
Non-Crime,2008,06,30
Non-Crime,2008,06,28
Non-Crime,2008,06,29
Non-Crime,2008,07,02
Non-Crime,2008,06,29
Non-Crime,2008,07,02
Psychiatric Detention,2008,07,03
Non-Crime,2008,07,03
Non-Crime,2008,07,03
Non-Crime,2008,07,03
Non-Crime,2008,06,15
Non-Crime,2008,07,05
Non-Crime,2008,03,10
Non-Crime,2008,07,08
Psychiatric Detention,2008,07,08
Non-Crime,2008,07,08
Non-Crime,2008,07,10
Non-Crime,2008,06,01
Non-Crime,2008,07,09
Non-Crime,2008,07,10
Non-Crime,2008,05,24
Non-Crime,2008,07,11
Non-Crime,2008,07,12
Non-Crime,2008,07,13
Non-Crime,2008,07,13
Non-Crime,2008,06,26
Non-Crime,2008,06,26
Non-Crime,2008,07,04
Non-Crime,2008,07,14
Non-Crime,2008,07,15
Non-Crime,2008,07,06
Non-Crime,2008,07,17
Non-Crime,2008,07,17
Non-Crime,2008,07,18
Non-Crime,2008,07,19
Non-Crime,2008,07,19
Non-Crime,2008,07,18
Non-Crime,2008,07,19
Non-Crime,2008,07,19
Non-Crime,2008,06,30
Psychiatric Detention,2008,07,20
Psychiatric Detention,2008,07,21
Non-Crime,2008,07,21
Non-Crime,2008,07,23
Non-Crime,2008,07,24
Psychiatric Detention,2008,07,24
Psychiatric Detention,2008,07,25
Psychiatric Detention,2008,07,27
Non-Crime,2008,07,26
Non-Crime,2008,07,26
Non-Crime,2008,07,19
Non-Crime,2008,07,26
Non-Crime,2008,07,29
Non-Crime,2008,07,30
Psychiatric Detention,2008,07,30
Non-Crime,2008,07,30
Non-Crime,2008,07,31
Non-Crime,2008,07,31
Non-Crime,2008,08,01
Psychiatric Detention,2008,08,01
Non-Crime,2008,07,31
Non-Crime,2008,08,01
Non-Crime,2008,08,01
Non-Crime,2008,08,02
Non-Crime,2008,08,03
Non-Crime,2008,08,02
Non-Crime,2008,07,13
Non-Crime,2008,04,24
Non-Crime,2008,08,04
Non-Crime,2008,08,04
Psychiatric Detention,2008,08,06
Psychiatric Detention,2008,08,07
Non-Crime,2008,08,08
Non-Crime,2008,08,07
Non-Crime,2008,08,09
Non-Crime,2008,08,09
Non-Crime,2008,08,10
Non-Crime,2008,08,10
Non-Crime,2008,08,08
Non-Crime,2008,08,08
Psychiatric Detention,2008,08,14
Non-Crime,2008,08,15
Non-Crime,2008,08,16
Non-Crime,2008,08,16
Non-Crime,2008,08,17
Non-Crime,2008,08,17
Non-Crime,2008,08,17
Non-Crime,2008,08,17
Psychiatric Detention,2008,08,17
Non-Crime,2008,08,19
Non-Crime,2008,08,20
Psychiatric Detention,2008,08,21
Non-Crime,2008,08,21
Non-Crime,2008,08,24
Non-Crime,2008,08,22
Non-Crime,2008,08,20
Non-Crime,2008,08,21
Non-Crime,2008,08,22
Non-Crime,2008,08,23
Non-Crime,2008,08,24
Non-Crime,2008,08,22
Non-Crime,2008,08,25
Non-Crime,2008,08,01
Non-Crime,2008,08,25
Non-Crime,2008,08,28
Psychiatric Detention,2008,08,28
Non-Crime,2008,08,28
Non-Crime,2008,08,29
Non-Crime,2008,08,30
Non-Crime,2008,08,31
Non-Crime,2008,09,01
Non-Crime,2008,09,02
Non-Crime,2008,09,02
Psychiatric Detention,2008,09,03
Psychiatric Detention,2008,09,03
Non-Crime,2008,09,04
Non-Crime,2008,09,04
Non-Crime,2008,09,05
Non-Crime,2008,09,06
Psychiatric Detention,2008,09,06
Psychiatric Detention,2008,09,06
Psychiatric Detention,2008,09,07
Non-Crime,2008,09,07
Non-Crime,2008,09,07
Non-Crime,2008,09,07
Non-Crime,2008,08,27
Non-Crime,2008,09,09
Non-Crime,2008,09,09
Non-Crime,2008,09,11
Non-Crime,2008,09,11
Non-Crime,2008,08,29
Non-Crime,2008,09,11
Non-Crime,2008,09,13
Psychiatric Detention,2008,09,14
Non-Crime,2008,09,14
Non-Crime,2008,09,15
Non-Crime,2008,09,12
Non-Crime,2008,09,14
Psychiatric Detention,2008,09,16
Non-Crime,2008,09,18
Non-Crime,2008,09,18
Non-Crime,2008,09,21
Non-Crime,2008,09,20
Non-Crime,2008,09,22
Non-Crime,2008,09,23
Non-Crime,2008,08,25
Non-Crime,2008,09,23
Psychiatric Detention,2008,09,24
Non-Crime,2008,09,24
Non-Crime,2008,09,20
Psychiatric Detention,2008,09,25
Psychiatric Detention,2008,09,25
Psychiatric Detention,2008,09,25
Non-Crime,2008,09,24
Non-Crime,2008,09,26
Psychiatric Detention,2008,09,27
Non-Crime,2008,09,27
Non-Crime,2008,09,27
Non-Crime,2008,09,26
Non-Crime,2008,09,27
Psychiatric Detention,2008,09,28
Non-Crime,2008,09,30
Non-Crime,2008,09,30
Non-Crime,2008,09,30
Non-Crime,2008,09,30
Non-Crime,2008,09,30
Non-Crime,2008,10,02
Non-Crime,2008,09,29
Psychiatric Detention,2008,10,04
Non-Crime,2008,10,04
Psychiatric Detention,2008,10,05
Non-Crime,2008,10,04
Non-Crime,2008,10,04
Psychiatric Detention,2008,10,07
Non-Crime,2008,10,06
Non-Crime,2008,10,08
Non-Crime,2008,10,08
Non-Crime,2008,10,08
Non-Crime,2008,10,09
Non-Crime,2008,10,06
Non-Crime,2008,09,18
Non-Crime,2008,07,24
Non-Crime,2008,10,09
Non-Crime,2008,08,09
Non-Crime,2008,09,07
Non-Crime,2008,10,06
Non-Crime,2008,10,10
Psychiatric Detention,2008,10,11
Non-Crime,2008,10,13
Non-Crime,2008,10,13
Non-Crime,2008,10,15
Non-Crime,2008,10,15
Non-Crime,2008,10,15
Non-Crime,2008,10,14
Non-Crime,2008,09,24
Non-Crime,2008,10,16
Non-Crime,2008,10,16
Non-Crime,2008,10,16
Non-Crime,2008,10,16
Non-Crime,2008,10,17
Non-Crime,2008,10,17
Non-Crime,2008,10,17
Non-Crime,2008,10,18
Non-Crime,2008,10,18
Non-Crime,2008,10,18
Non-Crime,2008,10,18
Psychiatric Detention,2008,10,19
Non-Crime,2008,10,19
Non-Crime,2008,10,19
Non-Crime,2008,10,18
Non-Crime,2008,10,20
Non-Crime,2008,10,21
Non-Crime,2008,10,21
Psychiatric Detention,2008,10,22
Non-Crime,2008,10,22
Non-Crime,2008,10,23
Non-Crime,2008,10,26
Non-Crime,2008,10,26
Psychiatric Detention,2008,10,20
Non-Crime,2008,10,26
Non-Crime,2008,09,11
Non-Crime,2008,10,27
Non-Crime,2008,10,27
Non-Crime,2008,10,27
Non-Crime,2008,10,06
Non-Crime,2008,10,30
Non-Crime,2008,10,31
Non-Crime,2008,10,13
Non-Crime,2008,11,02
Non-Crime,2008,11,02
Non-Crime,2008,10,26
Non-Crime,2008,11,02
Non-Crime,2008,10,30
Non-Crime,2008,11,04
Non-Crime,2008,11,04
Non-Crime,2008,11,04
Non-Crime,2008,11,03
Non-Crime,2008,11,05
Non-Crime,2008,11,04
Non-Crime,2008,11,05
Non-Crime,2008,11,05
Non-Crime,2008,10,26
Non-Crime,2008,11,07
Non-Crime,2008,11,07
Non-Crime,2008,10,08
Non-Crime,2008,11,07
Non-Crime,2008,11,07
Non-Crime,2008,11,10
Non-Crime,2008,11,10
Non-Crime,2008,11,11
Non-Crime,2008,11,11
Non-Crime,2008,11,12
Non-Crime,2008,11,12
Non-Crime,2008,11,10
Non-Crime,2008,11,12
Psychiatric Detention,2008,11,14
Psychiatric Detention,2008,11,14
Psychiatric Detention,2008,11,14
Non-Crime,2008,11,14
Psychiatric Detention,2008,11,15
Non-Crime,2008,10,02
Non-Crime,2008,11,15
Non-Crime,2008,10,22
Non-Crime,2008,11,15
Non-Crime,2008,11,16
Non-Crime,2008,11,16
Psychiatric Detention,2008,11,17
Non-Crime,2008,11,14
Non-Crime,2008,11,18
Non-Crime,2008,11,18
Non-Crime,2008,11,16
Psychiatric Detention,2008,11,19
Psychiatric Detention,2008,11,19
Non-Crime,2008,11,20
Non-Crime,2008,11,30
Non-Crime,2008,11,13
Non-Crime,2008,11,21
Non-Crime,2008,11,21
Non-Crime,2008,11,21
Non-Crime,2008,11,21
Psychiatric Detention,2008,11,22
Non-Crime,2008,11,14
Psychiatric Detention,2008,11,23
Psychiatric Detention,2008,11,24
Psychiatric Detention,2008,11,24
Non-Crime,2008,11,23
Non-Crime,2008,11,24
Non-Crime,2008,11,25
Non-Crime,2008,11,21
Non-Crime,2008,11,26
Psychiatric Detention,2008,11,27
Non-Crime,2008,11,27
Non-Crime,2008,11,28
Non-Crime,2008,11,29
Non-Crime,2008,11,27
Non-Crime,2008,11,29
Non-Crime,2008,11,30
Non-Crime,2008,11,29
Non-Crime,2008,11,29
Psychiatric Detention,2008,12,01
Non-Crime,2008,12,01
Non-Crime,2008,12,02
Non-Crime,2008,12,03
Non-Crime,2008,12,03
Non-Crime,2008,12,03
Non-Crime,2008,12,05
Non-Crime,2008,12,05
Psychiatric Detention,2008,12,06
Non-Crime,2008,12,06
Non-Crime,2008,12,07
Non-Crime,2008,12,07
Psychiatric Detention,2008,12,07
Non-Crime,2008,12,07
Non-Crime,2008,12,07
Psychiatric Detention,2008,12,08
Non-Crime,2008,12,09
Non-Crime,2008,12,09
Non-Crime,2008,12,09
Non-Crime,2008,12,11
Non-Crime,2008,12,11
Non-Crime,2008,12,07
Non-Crime,2008,12,12
Non-Crime,2008,12,13
Psychiatric Detention,2008,12,15
Non-Crime,2008,11,08
Psychiatric Detention,2008,12,16
Non-Crime,2008,12,14
Non-Crime,2008,12,18
Non-Crime,2008,12,15
Non-Crime,2008,11,18
Non-Crime,2008,12,18
Non-Crime,2008,12,18
Non-Crime,2008,12,18
Non-Crime,2008,12,18
Non-Crime,2008,12,19
Non-Crime,2008,12,20
Non-Crime,2008,12,20
Non-Crime,2008,12,21
Non-Crime,2008,12,23
Psychiatric Detention,2008,12,25
Non-Crime,2008,12,26
Non-Crime,2008,12,26
Non-Crime,2008,12,26
Psychiatric Detention,2008,12,28
Non-Crime,2008,12,30
Non-Crime,2008,12,30
Non-Crime,2008,12,30
Psychiatric Detention,2009,01,02
Non-Crime,2009,01,03
Non-Crime,2009,01,03
Non-Crime,2009,01,03
Non-Crime,2009,01,04
Non-Crime,2009,01,04
Non-Crime,2009,01,04
Non-Crime,2008,10,01
Non-Crime,2009,01,02
Psychiatric Detention,2009,01,05
Non-Crime,2009,01,07
Non-Crime,2009,01,07
Non-Crime,2009,01,07
Non-Crime,2009,01,07
Non-Crime,2008,12,31
Non-Crime,2009,01,08
Non-Crime,2009,01,09
Non-Crime,2009,01,09
Non-Crime,2009,01,09
Non-Crime,2009,01,11
Non-Crime,2009,01,10
Non-Crime,2009,01,09
Non-Crime,2009,01,12
Non-Crime,2009,01,13
Non-Crime,2009,01,13
Non-Crime,2009,01,14
Non-Crime,2009,01,11
Non-Crime,2009,01,16
Psychiatric Detention,2009,01,16
Non-Crime,2009,01,16
Non-Crime,2009,01,17
Non-Crime,2009,01,17
Non-Crime,2009,01,17
Non-Crime,2009,01,18
Psychiatric Detention,2009,01,18
Non-Crime,2009,01,17
Non-Crime,2009,01,19
Non-Crime,2009,01,19
Non-Crime,2009,01,19
Non-Crime,2009,01,21
